#%guid=08134ad0-cc68-4b23-38e8-703012641054
cel_files	qc-call-rate-all	qc-call-rate-nsp	qc-call-rate-sty	qc-call-rate-nsp-sty-ovlp	em-cluster-chrX-het-contrast_gender	em-cluster-chrX-het-contrast_gender_chrX_het_rate	contrast-qc	contrast-qc-rand	contrast-qc-nsp	contrast-qc-sty	contrast-qc-nsp-sty-ovlp
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E10_697070.CEL	0.97419	0.96530	0.96296	0.98275	female	0.24856	3.05139	3.05139	3.72000	3.30500	3.28000
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_F09_628240.CEL	0.96823	0.96787	0.94364	0.97782	female	0.22404	2.45182	2.45182	2.59500	2.40500	3.06000
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A05_748040.CEL	0.88915	0.84833	0.86795	0.91682	female	0.21632	0.01071	0.01071	-0.10500	0.00000	0.00000
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A11_771896.CEL	0.96062	0.94730	0.94364	0.97351	female	0.26344	2.10921	2.10921	2.84000	3.08000	3.05500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_A12_747988.CEL	0.95665	0.94216	0.92754	0.97474	female	0.24197	2.01285	2.01285	2.16000	2.31500	2.30500
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F05_628558.CEL	0.96559	0.96015	0.94525	0.97597	female	0.24936	2.39829	2.39829	2.46000	2.33000	2.66500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_F09_748034.CEL	0.92555	0.89332	0.89694	0.95194	female	0.22285	2.05567	2.05567	1.78500	2.56000	2.52000
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H04_747986.CEL	0.98246	0.97686	0.97424	0.98829	female	0.26908	2.52677	2.52677	2.75000	2.91500	2.76000
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A04_735014.CEL	0.93911	0.93059	0.89694	0.95933	female	0.25213	2.00214	2.00214	1.81000	2.14000	2.44500
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_B04_697100.CEL	0.97617	0.97301	0.95652	0.98521	female	0.25322	3.04069	3.04069	3.34500	3.20000	3.56000
