SNP	Gene	TotalDuration	KEG_Duration	NB_Duration	Psi_Duration	LRT_Eta	P_Eta	LRT_Gamma	P_Gamma	Lik	LikEta	LikGamma	Kappa	Eta	Gamma	Phi	Psi	Fail_Full	Fail_Full_eta	Fail_full_gamma	Fail_Eta	Fail_Gamma	Coeff_0	Coeff_1	Coeff_2	Coeff_3	Coeff_4	Coeff_5	Coeff_6	Coeff_7	Coeff_8	Coeff_9	Coeff_10	Coeff_11	Coeff_12	Coeff_13	Coeff_14	Coeff_15	Coeff_16	Coeff_17	Coeff_18	Coeff_19	Coeff_20	Coeff_21	Coeff_22	Coeff_23	Coeff_24	Coeff_25	Coeff_26	Coeff_27	Coeff_28	Coeff_29	Coeff_30	Coeff_31	Coeff_32	Coeff_33	Coeff_34	Coeff_35	Coeff_36	CisTrans_Score	CisTrans_Pval	CisTrans_Fail
0	25	3.15e+00	5.57e-02	2.99e+00	9.91e-02	8.731881e-01	3.5007e-01	4.592523e+00	3.2112e-02	-4.5163e+03	-4.5167e+03	-4.5186e+03	1.7819e-01	9.0810e-01	1.5874e+00	3.1337e-01	3.5526e-02	0	0	0	0	0	8.9883e-01	5.3343e-01	-1.0366e-01	2.0621e-01	-5.1361e-02	4.0733e-01	3.7112e-01	-2.2899e-01	2.4857e-01	3.8452e-01	2.8334e-01	7.6002e-02	2.6256e-01	-3.9099e-01	-5.4031e-02	-1.0903e-01	-4.6278e-01	-3.4906e-01	-5.1489e-01	-4.0897e-01	9.4199e-02	2.7546e-01	-1.5680e-01	-4.2363e-02	-3.3017e-01	-1.6748e-01	-2.4587e-01	9.1270e-02	-3.3778e-01	-4.0462e-03	8.4408e-02	-1.3413e-01	5.0700e-01	2.2071e-01	6.6424e-01	8.3648e-01	2.4135e-01	2.9082e+00	2.3361e-01	0
1	25	3.01e+00	5.76e-02	2.82e+00	1.18e-01	4.656136e-01	4.9501e-01	1.972764e-01	6.5693e-01	-4.5186e+03	-4.5189e+03	-4.5187e+03	1.8997e-01	9.3917e-01	1.1245e+00	3.1555e-01	3.5320e-02	0	0	0	0	0	8.9651e-01	5.4706e-01	-1.0265e-01	2.1916e-01	-3.1425e-02	3.9279e-01	3.7795e-01	-2.1672e-01	2.4322e-01	3.7096e-01	2.5402e-01	6.7669e-02	2.3417e-01	-3.8553e-01	-3.4453e-02	-1.0864e-01	-4.5684e-01	-3.1657e-01	-4.9700e-01	-3.8873e-01	1.1616e-01	2.9729e-01	-1.3102e-01	-1.6784e-02	-2.9787e-01	-1.3868e-01	-2.2009e-01	9.0598e-02	-3.2383e-01	-3.9752e-03	-4.3799e-02	-7.6430e-02	4.8588e-01	3.0899e-01	7.2395e-01	7.4929e-01	2.5301e-01	2.4482e-01	8.8478e-01	0
2	25	4.04e+00	1.92e-01	3.44e+00	3.75e-01	2.120604e-01	6.4516e-01	1.928241e+00	1.6495e-01	-4.5178e+03	-4.5179e+03	-4.5188e+03	1.0815e-01	9.4666e-01	1.7871e+00	3.1522e-01	3.5148e-02	0	0	0	0	0	9.0077e-01	5.5947e-01	-1.0580e-01	2.1934e-01	-2.2715e-02	3.9455e-01	3.7809e-01	-2.1156e-01	2.4823e-01	3.7648e-01	2.6132e-01	7.5834e-02	2.4246e-01	-3.9172e-01	-3.6703e-02	-1.1334e-01	-4.5306e-01	-3.2597e-01	-4.8370e-01	-3.9398e-01	1.1260e-01	2.9202e-01	-1.3231e-01	-2.0726e-02	-3.0478e-01	-1.4148e-01	-2.2418e-01	9.1162e-02	-3.2036e-01	-3.9887e-03	-4.3740e-02	-7.5313e-02	4.2878e-01	3.0629e-01	6.7161e-01	7.2257e-01	2.5907e-01	4.1853e-01	8.1118e-01	0
3	25	3.06e+00	5.66e-02	2.86e+00	1.46e-01	2.495691e-01	6.1738e-01	8.616911e-03	9.2604e-01	-4.5187e+03	-4.5188e+03	-4.5187e+03	1.9725e-01	1.0432e+00	9.8010e-01	3.1559e-01	3.5413e-02	0	0	0	0	0	8.9528e-01	5.4665e-01	-1.0215e-01	2.1031e-01	-3.4236e-02	3.9867e-01	3.7466e-01	-2.1637e-01	2.4300e-01	3.7141e-01	2.5834e-01	6.7800e-02	2.3784e-01	-3.8900e-01	-4.1077e-02	-1.1506e-01	-4.6351e-01	-3.3196e-01	-5.0229e-01	-3.9571e-01	1.1737e-01	2.9034e-01	-1.4165e-01	-3.1915e-02	-3.0668e-01	-1.4482e-01	-2.2737e-01	8.6982e-02	-3.2948e-01	-4.0126e-03	-3.9544e-02	-7.8226e-02	4.9145e-01	3.2145e-01	7.0794e-01	7.6890e-01	2.5433e-01	1.5788e-01	9.2409e-01	0
9	184	5.51e+00	3.27e-01	4.78e+00	3.48e-01	5.166620e+00	2.3025e-02	8.139185e-02	7.7542e-01	-3.6603e+03	-3.6628e+03	-3.6603e+03	9.8536e-01	3.1438e-01	9.5921e-01	4.1359e-01	8.9267e-02	2	2	2	2	2	7.2252e-01	-7.5073e-02	-2.1508e-01	-1.4198e-01	-4.2571e-01	-1.0076e-01	-3.8531e-01	-1.5549e-01	-2.5167e-02	-3.6659e-01	-2.7373e-01	-4.9135e-01	-1.9316e-01	-1.0768e-01	1.2105e-01	-5.5031e-03	4.6934e-01	2.8256e-01	3.5908e-01	2.5076e-01	1.4288e-01	1.9810e-01	2.1702e-01	5.2176e-01	3.9833e-01	2.6082e-01	2.5609e-01	4.7243e-01	3.5366e-01	-1.2710e-03	9.4960e-01	3.4323e-01	2.8988e+00	-4.2437e-01	-6.4184e-01	-1.7257e-01	-2.3100e-01	4.4808e+00	1.0642e-01	1
10	107	7.48e+00	1.00e+00	4.92e+00	1.47e+00	2.347915e+00	1.2545e-01	1.233720e+00	2.6668e-01	-7.8888e+03	-7.8900e+03	-7.8894e+03	2.1166e+00	6.6248e-01	1.1100e+00	3.9948e-01	1.8616e-01	2	2	2	2	2	1.0968e+00	-5.8993e-02	-2.1198e-01	-9.0994e-02	-3.2039e-01	-4.4037e-01	-2.8921e-01	-2.4024e-01	-4.7744e-02	-3.0524e-01	-1.5745e-01	-3.2593e-01	-1.2361e-01	-1.9102e-01	2.1401e-01	-4.6676e-02	6.7813e-01	1.4151e-01	1.9263e-01	2.7027e-01	1.0135e-01	1.9835e-01	1.8241e-01	1.5101e-01	5.7794e-01	3.5813e-01	6.7539e-02	4.6756e-01	3.7324e-01	-2.4934e-03	7.9506e-01	6.6972e-01	-4.4029e-02	1.1945e+00	7.0827e-02	-6.0920e-01	-1.3716e-01	1.1068e+01	3.9495e-03	0
10	184	4.57e+00	4.61e-01	3.66e+00	4.21e-01	2.164255e-03	9.6289e-01	1.374812e-02	9.0666e-01	-3.6652e+03	-3.6652e+03	-3.6652e+03	2.6124e+00	9.8504e-01	9.8983e-01	4.2195e-01	8.5948e-02	2	2	2	2	2	6.0172e-01	-1.3251e-01	-2.2578e-01	-2.1344e-01	-5.1625e-01	-1.8843e-01	-4.2274e-01	-2.4077e-01	-9.1187e-02	-4.3562e-01	-3.4094e-01	-5.7376e-01	-2.3621e-01	-9.1934e-02	1.2187e-01	1.4318e-03	4.4517e-01	3.0264e-01	3.5049e-01	2.3196e-01	1.0732e-01	1.9022e-01	2.1752e-01	4.6825e-01	3.6215e-01	2.7209e-01	2.6426e-01	4.7091e-01	3.5948e-01	-1.1416e-03	8.7333e-01	4.2268e-01	3.0305e+00	-3.7076e-01	-7.2006e-01	8.8370e-03	-3.1068e-01	7.6424e+00	2.1902e-02	1
11	107	7.65e+00	1.17e+00	4.67e+00	1.75e+00	3.406474e-01	5.5946e-01	5.249105e+00	2.1958e-02	-7.8860e+03	-7.8861e+03	-7.8886e+03	3.5347e+00	1.1514e+00	8.2862e-01	4.0247e-01	1.8208e-01	2	2	2	2	2	1.0626e+00	-9.3261e-02	-2.5406e-01	-1.3396e-01	-3.6406e-01	-4.7763e-01	-3.1411e-01	-2.7746e-01	-9.1883e-02	-3.4080e-01	-2.1600e-01	-3.6035e-01	-1.3943e-01	-1.9413e-01	1.8335e-01	-6.7075e-02	6.5796e-01	1.2741e-01	1.8025e-01	2.7976e-01	9.6425e-02	1.8348e-01	1.8948e-01	1.3759e-01	5.5594e-01	3.5001e-01	6.8421e-02	4.6387e-01	3.7585e-01	-2.5405e-03	7.7109e-01	6.9070e-01	-2.3744e-02	1.1952e+00	1.0192e-01	-6.1854e-01	-1.7145e-01	1.0096e+00	6.0363e-01	0
11	184	5.42e+00	6.48e-01	4.32e+00	4.28e-01	5.316868e-01	4.6590e-01	1.202965e+00	2.7273e-01	-3.6646e+03	-3.6648e+03	-3.6652e+03	2.0559e+00	7.7722e-01	1.1470e+00	4.2157e-01	8.5558e-02	2	2	2	2	2	6.1718e-01	-1.2596e-01	-2.1389e-01	-1.9839e-01	-5.0451e-01	-1.7781e-01	-4.1557e-01	-2.3239e-01	-8.0322e-02	-4.2121e-01	-3.2638e-01	-5.6013e-01	-2.4293e-01	-8.9993e-02	1.3198e-01	1.4179e-02	4.4895e-01	3.0171e-01	3.5500e-01	2.3284e-01	1.1667e-01	1.8887e-01	2.1786e-01	4.7800e-01	3.6767e-01	2.7205e-01	2.6708e-01	4.6840e-01	3.5284e-01	-1.0891e-03	9.0922e-01	4.4883e-01	3.0055e+00	-3.6432e-01	-6.9856e-01	9.4687e-03	-2.9419e-01	4.3487e-01	8.0458e-01	0
12	107	8.75e+00	1.10e+00	4.21e+00	3.40e+00	1.624098e-02	8.9859e-01	1.839770e-01	6.6798e-01	-7.8899e+03	-7.8899e+03	-7.8899e+03	2.9541e+00	1.0313e+00	9.6586e-01	4.0168e-01	1.8566e-01	2	2	2	2	2	1.0676e+00	-7.8005e-02	-2.3103e-01	-1.0231e-01	-3.3932e-01	-4.4868e-01	-3.0104e-01	-2.5848e-01	-7.1035e-02	-3.2941e-01	-1.9205e-01	-3.4528e-01	-1.5343e-01	-1.8577e-01	2.1026e-01	-4.3635e-02	6.7227e-01	1.2809e-01	1.9592e-01	2.9072e-01	1.1399e-01	1.9668e-01	2.0193e-01	1.5105e-01	5.8212e-01	3.7187e-01	8.2232e-02	4.7240e-01	3.8330e-01	-2.5403e-03	7.7788e-01	7.0688e-01	-5.5703e-02	1.1959e+00	1.4219e-01	-5.7273e-01	-1.5979e-01	2.6441e+00	2.6658e-01	0
